PARAMETER,YEAR,MAY,JUN,JUL,ANN
RH2M,2001,87.56,90.31,88.56,85.81
RH2M,2002,90.38,89.81,90.25,86.94
RH2M,2003,91.5,90.62,89.19,87.31
RH2M,2004,90.44,91.5,89.44,87.06
RH2M,2005,83.19,83.25,81.38,81.75
RH2M,2006,87.12,87.06,84.75,82.38
RH2M,2007,81.19,82.81,80.31,81.38
RH2M,2008,91.38,90.94,90.5,86.81
RH2M,2009,84.25,85.12,83.94,84.56
RH2M,2010,84.62,83.88,82.12,82.31
RH2M,2011,89.88,89.25,88.94,86.5
RH2M,2012,90.88,90.5,88.62,87.56
RH2M,2013,88,89.38,90.06,86.75
RH2M,2014,85.56,87,86.69,85.06
RH2M,2015,89.75,89.94,87.81,85.81
RH2M,2016,89.62,90.19,87.62,86.25
RH2M,2017,90,90.5,87.81,87.25
RH2M,2018,89.62,87.88,86.75,87.06
RH2M,2019,87.12,88.88,86.69,86.88
RH2M,2020,90.44,87.88,88.25,85.88
RH2M,2021,89.62,88,87.25,86.94
T2M_MAX,2001,19.33,17.38,16.89,22.26
T2M_MAX,2002,18.58,17.42,17.93,20.88
T2M_MAX,2003,18.63,17.56,17.01,21.14
T2M_MAX,2004,18.76,16.63,17.44,21.93
T2M_MAX,2005,21.69,19.89,20.52,23.46
T2M_MAX,2006,19.44,18.69,19.39,25.4
T2M_MAX,2007,22.05,19.45,21.59,23.76
T2M_MAX,2008,17.08,17.44,17.58,21.9
T2M_MAX,2009,19.66,19.73,19.47,23.86
T2M_MAX,2010,21.99,19.24,21.2,23.68
T2M_MAX,2011,19.94,18.97,18.92,21.55
T2M_MAX,2012,17.4,18.04,17.91,21.61
T2M_MAX,2013,19.22,18.54,17.28,21.61
T2M_MAX,2014,20.18,19.42,18.62,22.94
T2M_MAX,2015,19.33,18.13,19.58,22.31
T2M_MAX,2016,19.12,17.83,17.55,23.89
T2M_MAX,2017,18.83,18.33,18.46,21.61
T2M_MAX,2018,19.26,17.74,17.66,20.87
T2M_MAX,2019,19.94,18.86,19.01,21.55
T2M_MAX,2020,20.16,19.14,18.18,22.69
T2M_MAX,2021,19.51,18.6,18.1,21.51
T2M_MIN,2001,6.76,5.37,5.28,4.51
T2M_MIN,2002,8.15,4.38,5.28,3.97
T2M_MIN,2003,7.33,6.94,2.64,2.64
T2M_MIN,2004,6.37,5.01,6.01,5.01
T2M_MIN,2005,8.46,7.7,7.35,7.01
T2M_MIN,2006,6.57,5.58,5.62,5.58
T2M_MIN,2007,9.86,6.98,7.62,5.99
T2M_MIN,2008,7.23,5.94,5.82,4.9
T2M_MIN,2009,7.94,7.15,5.78,5.78
T2M_MIN,2010,8.72,6.98,7.7,6.03
T2M_MIN,2011,6.67,6.44,6.53,6.08
T2M_MIN,2012,7.15,6.26,5.26,4.8
T2M_MIN,2013,7.68,6.3,5.03,4.48
T2M_MIN,2014,8.74,5.65,5.62,5.58
T2M_MIN,2015,7.6,6.8,6.63,6.02
T2M_MIN,2016,8.07,6.24,5.44,5.44
T2M_MIN,2017,7.67,7.23,4.73,4.73
T2M_MIN,2018,8.22,4.5,5.95,4.5
T2M_MIN,2019,7.85,6.43,5.52,4.56
T2M_MIN,2020,8.27,7.48,6.29,6.29
T2M_MIN,2021,7.69,7.09,4.65,4.65
