YEAR,DOY,T2M_MAX,T2M_MIN,RH2M
2023,67,18.6,12.55,89.31 
2023,68,18.58,10.93,83.94 
2023,69,16.92,12.05,91.88
2023,70,18.74,11.58,87.38
2023,71,17.07,11.55,89.81
2023,72,16.5,11.87,91.0
2023,73,16.59,10.26,89.88
2023,74,19.5,12.06,83.88
2023,75,20.73,11.22,80.94
2023,76,20.72,10.4,75.06
2023,77,19.38,10.66,80.12
2023,78,17.53,11.3,88.06
2023,79,20.1,11.55,80.38
2023,80,19.19,12.17,86.94
2023,81,17.65,11.34,88.06
2023,82,17.68,10.57,88.62
2023,83,15.75,11.63,92.5
2023,84,18.33,11.04,89.5
2023,85,17.48,10.01,89.69
2023,86,17.33,9.66,89.44
2023,87,16.48,9.76,90.25
2023,88,17.91,10.41,88.69
2023,89,16.88,10.73,89.94
2023,90,15.92,9.94,91.94
2023,91,17.92,9.52,88.5
2023,92,18.13,9.01,88.44
2023,93,18.65,10.01,87.31
2023,94,18.51,10.71,88.56
2023,95,17.09,10.94,91.75
2023,96,16.35,12.17,90.81
2023,97,18.37,11.14,87.56
2023,98,15.83,11.2,91.12
2023,99,17.3,9.34,90.0
2023,100,15.92,9.63,90.56
2023,101,16.73,9.8,90.25
2023,102,18.5,10.0,88.12
2023,103,17.93,10.72,88.94
2023,104,17.11,11.01,89.12
2023,105,19.06,10.64,87.0
2023,106,17.37,10.9,87.62
2023,107,16.48,11.73,92.31
2023,108,18.61,10.47,84.62
2023,109,17.15,11.98,92.06
2023,110,17.67,11.69,88.88
2023,111,17.11,11.29,90.81
2023,112,18.82,11.93,82.06
2023,113,15.73,10.68,92.69
2023,114,18.3,10.09,84.56
2023,115,17.91,10.03,87.12
2023,116,17.41,9.07,88.69
2023,117,16.57,10.61,91.69
2023,118,16.98,10.3,90.31
2023,119,17.13,10.38,92.06
2023,120,17.5,10.12,90.56
2023,121,16.19,9.42,89.88
2023,122,17.19,8.81,89.19
2023,123,17.54,9.8,90.5
2023,124,17.61,9.14,90.75
2023,125,18.23,9.76,90.31
2023,126,17.68,10.1,90.88
2023,127,17.86,8.49,85.25
